"rf_cum_3_day","temperature","ws","deg_from_north","dow","working_days","hour","pre_peak_hour","pm10"
0,13.8000001907,2.7000000477,159,1,1,23,0,8.3000001907
0.4,10.1,2.1,6,2,1,4,0,10.2
0,20.3999996185,3.7999999523,164,6,0,18,0,18.2999992371
1.4,13.6999998093,3.9000000954,9,7,0,14,0,10.3999996185
24,25,3.9000000954,176,5,1,12,0,20.1000003815
10.2,9.4,1.4,97,1,1,10,0,6.9
0.8,16.1,3.1,166,3,1,13,0,18.1
0.2,10.6999998093,0.6999999881,133,6,0,18,0,17.2000007629
9,23.7,3.5,6,1,1,8,1,42.5
3.4,10.3000001907,5.5,7,6,0,20,0,10
0,18.6000003815,2.2000000477,139,4,1,4,0,16.7999992371
0,15.8999996185,0.6000000238,29,4,1,4,0,77.5999984741
3.4,21.2999992371,2.2999999523,129,4,1,10,0,10.8000001907
0,22.9,4.8,97,3,1,15,1,50.8
0,18.8,3.3,173,3,1,16,1,15.1
2,17.7999992371,2.7999999523,67,3,1,16,1,16.5
4.6,9.8999996185,0.6999999881,65,5,1,22,0,18.7999992371
4.6,30,2.8,56,6,0,17,0,32
0,26.1,2.3,170,7,0,16,1,36.1
1,12.3999996185,1.3999999762,163,4,1,19,0,10.5
13,10.8000001907,1.5,1,1,1,0,0,3
6.4,7.1,2,113,6,0,23,0,11.7
2.2,18.2,2.6,37,3,1,14,0,36.9
4.6,18.3,3.2,154,6,0,16,1,12.9
1.2,9.6999998093,2,79,1,1,9,0,24.2000007629
0.4,12,1.9,138,2,1,15,1,12.2
0,16.2999992371,1.7000000477,24,7,0,8,1,12.1999998093
2.2,15.6000003815,3.2999999523,1,3,1,19,0,27.6000003815
0,16.3,4.5,83,6,0,1,0,15.3
5.8,11.3000001907,2.2999999523,10,4,1,23,0,7.5
0,19.7999992371,1.3999999762,134,6,0,1,0,9.8000001907
6,8.5,2.1,54,4,1,2,0,4.3
0.6,15.3000001907,2.5999999046,158,7,0,8,1,12.1000003815
0.4,10.5,2.2,88,1,1,6,1,9.3
14.6,21.8999996185,1.5,146,5,1,20,0,16.3999996185
6.8,7.5999999046,0.8000000119,73,5,1,1,0,8.5
0.2,6.4000000954,1.5,18,6,0,1,0,10.8999996185
0.2,11.8,0.9,139,4,1,18,0,20.7
0.2,17,1.3,9,4,1,4,0,29.3
0,15.6,2.7,115,3,1,1,0,4
0,19.2,3.7,177,3,1,18,0,27.7
0,9.3000001907,0.6999999881,30,5,1,3,0,10.8999996185
0,20,3.4000000954,166,1,1,20,0,19.6000003815
0,15.4,1.9,154,2,1,10,0,28.2
2.4,11.8000001907,3.7000000477,153,2,1,10,0,27
0,17.1000003815,1,12,7,0,23,0,10.1999998093
0,19.7999992371,2.4000000954,151,4,1,9,0,13.1000003815
6,12.9,4.7,65,4,1,9,0,15.5
0,19.2000007629,3.4000000954,76,7,0,10,0,26.8999996185
0.4,14.8999996185,1.7000000477,25,5,1,22,0,28.3999996185
0.2,11.4,2.1,62,6,0,9,0,18.4
1,2.5,1.3,57,3,1,1,0,25.8
20.2,20.3999996185,3.5,161,6,0,14,0,10.1000003815
0,24.3,1.6,46,6,0,23,0,28.6
